Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
34C,0200,34C,0000,000,0000,000,0000,0000,004,0100
34C,0200,34D,0200,34C,0200,000,034C,0000,004,0100
34D,EE18,34E,EE18,366,0000,000,0018,0000,004,0100,366,0000
34E,AE16,34F,AE16,365,3333,000,0016,3333,000,0000
34F,0C00,350,0C00,7FF,3333,7FF,034F,3333,000,0000,7FF,3333
350,D67A,67A,D67A,7FE,0351,7FE,D67A,3333,000,0000,7FE,0351
67A,AC01,67B,AC01,7FF,3333,7FE,0001,3333,000,0000
67B,F001,67C,F001,67B,F001,7FE,067B,3333,000,0000
67C,F308,685,F308,67C,F308,7FE,0008,3333,000,0000
685,AE02,686,AE02,688,F32E,7FE,0002,F32E,008,1000
686,EC01,687,EC01,7FF,F32E,7FE,0001,F32E,008,1000,7FF,F32E
687,0A00,351,0A00,7FE,0351,7FF,0687,F32E,008,1000
351,0800,352,0800,7FF,F32E,000,0351,F32E,008,1000
352,4E13,353,4E13,366,0000,000,0013,F32E,008,1000
353,EE12,354,EE12,366,F32E,000,0012,F32E,008,1000,366,F32E
354,AE0E,355,AE0E,363,1111,000,000E,1111,000,0000
355,0C00,356,0C00,7FF,1111,7FF,0355,1111,000,0000,7FF,1111
356,D67A,67A,D67A,7FE,0357,7FE,D67A,1111,000,0000,7FE,0357
67A,AC01,67B,AC01,7FF,1111,7FE,0001,1111,000,0000
67B,F001,67C,F001,67B,F001,7FE,067B,1111,000,0000
67C,F308,685,F308,67C,F308,7FE,0008,1111,000,0000
685,AE02,686,AE02,688,F32E,7FE,0002,F32E,008,1000
686,EC01,687,EC01,7FF,F32E,7FE,0001,F32E,008,1000,7FF,F32E
687,0A00,357,0A00,7FE,0357,7FF,0687,F32E,008,1000
357,0800,358,0800,7FF,F32E,000,0357,F32E,008,1000
358,0740,359,0740,358,0740,000,0358,F32D,009,1001
359,4E0C,35A,4E0C,366,F32E,000,000C,E65B,009,1001
35A,EE0B,35B,EE0B,366,E65B,000,000B,E65B,009,1001,366,E65B
35B,AE08,35C,AE08,364,2222,000,0008,2222,001,0001
35C,0740,35D,0740,35C,0740,000,035C,2221,001,0001
35D,0C00,35E,0C00,7FF,2221,7FF,035D,2221,001,0001,7FF,2221
35E,D67A,67A,D67A,7FE,035F,7FE,D67A,2221,001,0001,7FE,035F
67A,AC01,67B,AC01,7FF,2221,7FE,0001,2221,001,0001
67B,F001,67C,F001,67B,F001,7FE,067B,2221,001,0001
67C,F308,685,F308,67C,F308,7FE,0008,2221,001,0001
685,AE02,686,AE02,688,F32E,7FE,0002,F32E,009,1001
686,EC01,687,EC01,7FF,F32E,7FE,0001,F32E,009,1001,7FF,F32E
687,0A00,35F,0A00,7FE,035F,7FF,0687,F32E,009,1001
35F,0800,360,0800,7FF,F32E,000,035F,F32E,009,1001
360,6E05,361,6E05,366,E65B,000,0005,0CD3,001,0001
361,EE04,362,EE04,366,0CD3,000,0004,0CD3,001,0001,366,0CD3
362,0100,363,0100,362,0100,000,0362,0CD3,001,0001
