Gradient_Boosting,UFSACO,Intersection
average_token_length,data_channel_is_lifestyle,LDA_03
n_non_stop_unique_tokens,data_channel_is_world,n_non_stop_unique_tokens
kw_avg_avg,data_channel_is_entertainment,n_unique_tokens
LDA_03,n_unique_tokens,self_reference_avg_sharess
n_unique_tokens,data_channel_is_tech,self_reference_min_shares
self_reference_min_shares,data_channel_is_bus,
self_reference_avg_sharess,data_channel_is_socmed,
kw_max_avg,self_reference_min_shares,
LDA_02,avg_positive_polarity,
kw_avg_min,n_non_stop_unique_tokens,
global_subjectivity,weekday_is_wednesday,
n_tokens_content,weekday_is_monday,
max_negative_polarity,self_reference_avg_sharess,
self_reference_max_shares,weekday_is_tuesday,
global_rate_negative_words,LDA_03,
