feature,importance
average_token_length,0.48263869483877336
n_non_stop_unique_tokens,0.10689079482876333
kw_avg_avg,0.10167626603334844
LDA_03,0.08525451358305612
n_unique_tokens,0.08334302505324379
self_reference_min_shares,0.06821546502551273
self_reference_avg_sharess,0.04083895899801618
kw_max_avg,0.009748207797905485
LDA_02,0.00398014491878717
kw_avg_min,0.0029335558013039247
global_subjectivity,0.00191974685160728
n_tokens_content,0.0018858107533269632
max_negative_polarity,0.0015677818334303361
self_reference_max_shares,0.0012654556317077143
global_rate_negative_words,0.001074612175270451
kw_max_max,0.0009388986453814362
rate_positive_words,0.0008510909294419366
max_positive_polarity,0.0008348562626833327
rate_negative_words,0.0007711370330436122
LDA_04,0.0007689109596558138
avg_positive_polarity,0.0007478183518028989
LDA_01,0.0007226607593289881
num_videos,0.0006915369941264855
data_channel_is_bus,0.00044005594048236913
num_self_hrefs,0.0
num_imgs,0.0
kw_avg_max,0.0
kw_min_avg,0.0
kw_max_min,0.0
kw_min_max,0.0
data_channel_is_socmed,0.0
data_channel_is_tech,0.0
data_channel_is_world,0.0
kw_min_min,0.0
data_channel_is_entertainment,0.0
data_channel_is_lifestyle,0.0
num_keywords,0.0
n_tokens_title,0.0
num_hrefs,0.0
n_non_stop_words,0.0
weekday_is_friday,0.0
weekday_is_monday,0.0
weekday_is_saturday,0.0
weekday_is_sunday,0.0
is_weekend,0.0
LDA_00,0.0
weekday_is_tuesday,0.0
weekday_is_wednesday,0.0
weekday_is_thursday,0.0
global_sentiment_polarity,0.0
min_positive_polarity,0.0
global_rate_positive_words,0.0
avg_negative_polarity,0.0
min_negative_polarity,0.0
title_subjectivity,0.0
title_sentiment_polarity,0.0
abs_title_subjectivity,0.0
abs_title_sentiment_polarity,0.0
