feature,importance
average_token_length,0.48263869483877336
n_non_stop_unique_tokens,0.10689079482876333
kw_avg_avg,0.10167626603334844
LDA_03,0.08525451358305612
n_unique_tokens,0.08334302505324379
self_reference_min_shares,0.06821546502551273
self_reference_avg_sharess,0.04083895899801618
kw_max_avg,0.009748207797905485
LDA_02,0.00398014491878717
kw_avg_min,0.0029335558013039247
global_subjectivity,0.00191974685160728
n_tokens_content,0.0018858107533269632
max_negative_polarity,0.0015677818334303361
self_reference_max_shares,0.0012654556317077143
global_rate_negative_words,0.001074612175270451
